n	v	c	f	a	e	y	g	m	s	r	w	b
1	.001	.001	.001	.001	.001	.001	.001	.001	.001	.001	.001	.001
.001	1	1	1	1	1	.001	.001	.001	.001	.001	.001	.001
.001	1	1	1	1	1	.001	.001	.001	.001	.001	.001	.001
.001	1	1	1	1	1	.001	.001	.001	.001	.001	.001	.001
.001	1	1	1	1	1	.001	.001	.001	.001	.001	.001	.001
.001	1	1	1	1	1	.001	.001	.001	.001	.001	.001	.001
.001	.001	.001	.001	.001	.001	1	.001	.001	.001	.001	.001	.001
.001	.001	.001	.001	.001	.001	.001	1	.001	.001	.001	.001	.001
.001	.001	.001	.001	.001	.001	.001	.001	1	.001	.001	.001	.001
.001	.001	.001	.001	.001	.001	.001	.001	.001	1	.001	.001	.001
.001	.001	.001	.001	.001	.001	.001	.001	.001	.001	1	.001	.001
.001	.001	.001	.001	.001	.001	.001	.001	.001	.001	.001	1	.001
.001	.001	.001	.001	.001	.001	.001	.001	.001	.001	.001	.001	1

END
