Genus,Time ,Group,Direction
Oreophryne A,13.5,1,E/A
Oreophryne A,21.7,1,E/A
Oreophryne A,17.6,1,E/A
Oreophryne A1,7.6,2,A/F
Oreophryne A1,14.1,2,A/F
Oreophryne A1,10.8,2,A/F
Oreophryne A2,6.3,3,A/F
Oreophryne A2,14.9,3,A/F
Oreophryne A2,10.5,3,A/F
Cophixalus,12,4,E/F
Cophixalus,19.1,4,E/F
Cophixalus,16.1,4,E/F
Cophixalus,8.8,5,F/A
Cophixalus,16,5,F/A
Cophixalus,12.4,5,F/A
Choerophryne,12.3,6,E/A
Choerophryne,19.2,6,E/A
Choerophryne,15.5,6,E/A
Choerophryne,8.7,7,A/F
Choerophryne,15.4,7,A/F
Choerophryne,11.9,7,A/F
Austrochaperina B,2,8,A/C
Austrochaperina B,7.2,8,A/C
Austrochaperina B,4.3,8,A/C
Austrochaperina B,12.5,9,E/A
Austrochaperina B,18.6,9,E/A
Austrochaperina B,15.5,9,E/A
Austrochaperina A,9.6,10,E/A
Austrochaperina A,16.1,10,E/A
Austrochaperina A,12.7,10,E/A
Liophryne,11.2,11,E/A
Liophryne,18.1,11,E/A
Liophryne,14.4,11,E/A
Sphenophryne,8.9,12,E/A
Sphenophryne,15.7,12,E/A
Sphenophryne,12.8,12,E/A
Asterophrys,12.5,13,E/F
Asterophrys,18.7,13,E/F
Asterophrys,15.5,13,E/F
Asterophrys,8.1,14,F/V
Asterophrys,14.6,14,F/V
Asterophrys,11.5,14,F/V
Asterophrys,4.7,15,V/C
Asterophrys,9.3,15,V/C
Asterophrys,7,15,V/C
Asterophrys,3.3,16,V/F
Asterophrys,7.3,16,V/F
Asterophrys,5.3,16,V/F
Asterophrys,2.4,17,F/E
Asterophrys,6.4,17,F/E
Asterophrys,5.3,17,F/E
Xenorhina,12.5,18,E/F
Xenorhina,18.7,18,E/F
Xenorhina,15.5,18,E/F
Xenorhina1,5,19,F/A
Xenorhina1,11.3,19,F/A
Xenorhina1,8,19,F/A
Xenorhina2,3.9,20,F/A
Xenorhina2,8.9,20,F/A
Xenorhina2,6.3,20,F/A
Xenorhina3,2.4,21,F/A
Xenorhina3,6.9,21,F/A
Xenorhina3,4.7,21,F/A
Xenorhina,2.4,22,F/C
Xenorhina,6.9,22,F/C
Xenorhina,4.7,22,F/C
Callulops,7.1,23,E/F
Callulops,13.1,23,E/F
